MatricNo,Name,Class,IndexNo,Gender
RVHS-2015-001,Angelina Leng,19J07,1,F
RVHS-2015-003,Candice Yao,19J07,2,F
RVHS-2015-005,Chloe Loy,19J07,3,F
RVHS-2015-009,Ee Pei Chi Neoma,19J07,4,F
RVHS-2015-011,Fu Peck Sian Nedra,19J07,5,F
RVHS-2015-013,Hafizah Wong,19J07,6,F
RVHS-2015-017,Marcia Toy,19J07,7,F
RVHS-2015-021,Nichole Wong,19J07,8,F
RVHS-2015-023,Sandy Ho,19J07,9,F
RVHS-2015-007,Dave Khoo,19J07,10,M
RVHS-2015-015,Hayden Lin,19J07,11,M
RVHS-2015-019,Ned Ang,19J07,12,M
RVHS-2015-025,Stephen Peh,19J07,13,M
RVHS-2015-027,Victor Fong,19J07,14,M
RVHS-2015-004,Cherilyn Schirmer,19J08,1,F
RVHS-2015-006,Dahlia Hong,19J08,2,F
RVHS-2015-008,Devi Lieu,19J08,3,F
RVHS-2015-010,Emma Kaur,19J08,4,F
RVHS-2015-016,Julia Kang Siew Hui,19J08,5,F
RVHS-2015-020,Neoma Chen,19J08,6,F
RVHS-2015-002,Benton Ling,19J08,7,M
RVHS-2015-012,Gene Boo,19J08,8,M
RVHS-2015-014,Han Teck Heng Sterling,19J08,9,M
RVHS-2015-018,Moses Kishnani,19J08,10,M
RVHS-2015-022,Rick Fu,19J08,11,M
RVHS-2015-024,Shawn Yu,19J08,12,M
RVHS-2015-026,Taylor Choi,19J08,13,M
RVHS-2015-028,Wyatt Danker,19J08,14,M
